stage,metric,first,last,mean,std,last_10_mean,min,max
Stage 1,reward_mean,-0.12364100160478275,0.02386115272691705,-0.06880878647369335,0.07513145476372456,0.013757361006179242,-0.2726692200174553,0.06729420012193123
Stage 1,main_reward_mean,0.0015505143028903678,0.04267185448130301,0.024946944310904114,0.026298344355345657,0.049512051953510924,-0.044929960758196046,0.08275799052799054
Stage 1,mrr_mean,0.2415922691525325,0.19076293654960452,0.2084549254957597,0.05666165098823596,0.20333595234375798,0.05843960764404352,0.33920039949451714
Stage 1,recall_mean,0.6419213973799127,0.48166666666666663,0.6027068405709934,0.10086070659688647,0.6501856688403845,0.22950819672131148,0.8541666666666666
Stage 1,recall_dense_mean,0.8078602620087336,0.59125,0.7557212334761747,0.0875583479633709,0.8143691094149208,0.574712643678161,0.95
Stage 1,delta_mrr20_mean,0.012928841362467169,0.008840406529744766,0.005657189490970701,0.024476061596403434,0.019890246253029802,-0.06620692161335837,0.0773101208061101
Stage 1,delta_recall20_mean,-0.06986899563318777,0.02125,-0.011245526681603378,0.051177172069930055,0.03463788881803846,-0.1511111111111111,0.10424710424710425
Stage 1,delta_recall50_mean,-0.08733624454148471,0.02,-0.02720100263156809,0.05185767586665282,-0.0033704458851164048,-0.18518518518518517,0.12444444444444444
Stage 1,keyword_preserve_mean,0.8127538642822486,0.9086033312447787,0.8498139746011114,0.04808194721128218,0.9031712116520018,0.6973975636766334,0.953054448871182
Stage 1,recall_drop_ratio,0.08296943231441048,0.0125,0.06387585483864275,0.037625713385736954,0.023510953453490697,0.0,0.17316017316017315
Stage 1,trainable_group_ratio,0.75,,0.7029166666666665,0.11184338873037424,0.6111111111111112,0.4583333333333333,0.9583333333333334
Stage 1,flat_reward_group_ratio,0.25,,0.2970833333333333,0.11184338873037424,0.3888888888888889,0.041666666666666664,0.5416666666666666
Stage 1,extra_sample_ratio,0.1615720524017467,,0.1813871534771655,0.041439128868561985,0.21759348749113808,0.07246376811594203,0.26996197718631176
Stage 1,loss,-0.0032123215259260434,,0.0199207673810842,0.017088707536941073,0.05167600004704163,-0.0032123215259260434,0.07091146838729796
Stage 1,loss_kl,1.2104042801949218e-05,,0.016778830037549826,0.01605555327452657,0.048136351629816346,-4.5712564606907463e-05,0.06925145561791674
Stage 1,kl_dominance_ratio,0.0001263128639517026,,0.025434671684757156,0.0207231016457621,0.06657340674487243,0.0001263128639517026,0.09765028416717889
Stage 2,reward_mean,-0.055032173160173156,0.025894718748743523,0.0024632598367363306,0.035738085977064474,0.011719208055153953,-0.08652185803049289,0.06340378703565737
Stage 2,main_reward_mean,0.017714493506493508,0.04995138541541019,0.037407159355616816,0.01752670075102451,0.04079243314750384,-0.005470688138081023,0.08893932708218423
Stage 2,mrr_mean,0.17686093906093908,0.203127117357187,0.2227028101040019,0.07074969526515595,0.2292837094189344,0.09533905564692982,0.3792319453033739
Stage 2,recall_mean,0.5373333333333333,0.48416666666666663,0.5503952988633021,0.11116036213346678,0.5513431628397443,0.2109375,0.7765151515151515
Stage 2,recall_dense_mean,0.6813333333333333,0.59875,0.6696867940103929,0.10824799119756327,0.6676850098370981,0.36328125,0.8866396761133604
Stage 2,delta_mrr20_mean,0.002681718281718281,0.021204587337327278,0.005615050089812571,0.018010777944468464,0.008362372062631645,-0.03169732599728488,0.05558706477547699
Stage 2,delta_recall20_mean,-0.036,0.02375,0.0057256088392602655,0.0361577571146036,0.007988164738547365,-0.07307692307692308,0.108
Stage 2,delta_recall50_mean,-0.004,0.0275,0.007793982511213364,0.0342550375908142,0.014578786937799196,-0.06679389312977099,0.09811320754716982
Stage 2,keyword_preserve_mean,0.9078857142857143,0.9106332497911446,0.9087691457265489,0.028261142314028653,0.9096333609141014,0.8411737351190476,0.963550135501355
Stage 2,recall_drop_ratio,0.06,0.02,0.02976142332762726,0.020717048079126936,0.02458752913606612,0.0036101083032490976,0.08203125
Stage 2,trainable_group_ratio,0.5833333333333334,,0.5201388888888888,0.10726100822642941,0.4629629629629629,0.25,0.75
Stage 2,flat_reward_group_ratio,0.4166666666666667,,0.4798611111111111,0.1072610082264294,0.537037037037037,0.25,0.75
Stage 2,extra_sample_ratio,0.232,,0.242025606665223,0.03034239344043796,0.25383474703764025,0.16521739130434782,0.30685920577617326
Stage 2,loss,0.03736926374527124,,0.06074232829494491,0.01597741651415853,0.07631730349181493,0.03253224597434805,0.10549897540892873
Stage 2,loss_kl,0.03709549279875109,,0.0577742737347136,0.014244420840315764,0.07205563615356711,0.03349523892510927,0.09761342980091285
Stage 2,kl_dominance_ratio,0.05559283655947473,,0.07751114865343416,0.01754192941947107,0.09607152051788363,0.047156056010705355,0.12493490631138117
